sample_number,time_approx,sampling_rate_hz
0,0.0,499.6192972007147
1,0.005,240.70611190817792
2,0.01,166.57945112990984
3,0.015,54.92802514405448
4,0.02,248.18366863905325
5,0.025,84.73341414141414
6,0.03,354.0094530722485
7,0.035,59.28344876325088
8,0.04,246.95619406500236
9,0.045,84.56940075812565
10,0.05,299.8287225677318
11,0.055,91.48081746602979
12,0.06,331.0160208349775
13,0.065,88.73078062195896
14,0.07,245.46754842862995
15,0.075,78.59211512516865
16,0.08,498.7281807372176
17,0.085,69.77598110162866
18,0.09,997.2192106514503
19,0.095,63.96096132731487
20,0.1,25.027322795648878
21,0.105,141.80006085398423
22,0.11,333.1456711675933
23,0.115,90.70334328099996
24,0.12,234.266309204647
25,0.125,141.64203701202214
26,0.13,333.2515493405371
27,0.135,142.77509616366547
28,0.14,313.3117203256891
29,0.145,80.913324459363
30,0.15,330.85935158160447
31,0.155,245.94253547554825
32,0.16,91.40506025671759
33,0.165,328.6556965992791
34,0.17,72.7735577340158
35,0.17500000000000002,330.07822460061385
36,0.18,73.48243662292612
37,0.185,331.1728385313857
38,0.19,79.38795828364847
39,0.195,140.54094625385338
40,0.2,327.9874882702534
41,0.20500000000000002,244.87996263428303
42,0.21,140.0996726568241
43,0.215,84.73341414141414
44,0.22,490.676649508657
45,0.225,140.3199625305276
46,0.23,297.7428835096188
47,0.23500000000000001,142.85776566757494
48,0.24,333.30451366815004
49,0.245,101.69242332403928
50,0.25,247.80243412501477
51,0.255,68.52094360582892
52,0.26,499.7383533897295
53,0.265,75.88066938037088
54,0.27,218.01049950621135
55,0.275,73.32186560380393
56,0.28,463.25425226419264
57,0.28500000000000003,69.02386202810783
58,0.29,821.7680250783699
59,0.295,138.28895483020113
60,0.3,328.707210031348
61,0.305,140.8619022031166
62,0.31,328.090112640801
63,0.315,85.5648626042963
64,0.32,498.3726235741445
65,0.325,68.23001968343826
66,0.33,997.6936251189344
67,0.335,132.6849514409541
68,0.34,495.60486825002954
69,0.34500000000000003,123.23502277067725
70,0.35000000000000003,497.84023738872406
71,0.355,81.88641377559985
72,0.36,468.6896859984356
73,0.365,118.39954834156669
74,0.37,497.8993352326686
75,0.375,74.57733681833538
76,0.38,458.0934906072521
77,0.385,124.96064352748398
78,0.39,499.85746633297583
79,0.395,58.54777425703876
80,0.4,498.3726235741445
81,0.405,65.85084937356737
82,0.41000000000000003,685.0080026130981
83,0.41500000000000004,103.51449937066562
84,0.42,247.7438865918488
85,0.425,75.3612189161995
86,0.43,987.1273240762532
87,0.435,62.73263535746336
88,0.44,235.1990130656648
89,0.445,87.17429438417092
90,0.45,248.49244623496654
91,0.455,74.53625248791583
92,0.46,497.54495848161326
93,0.465,68.49408844470572
94,0.47000000000000003,236.51201082666066
95,0.47500000000000003,83.6401778770415
96,0.48,291.55456694008063
97,0.485,73.34109706412072
98,0.49,500.5733381071727
99,0.495,124.94203157581174
100,0.5,500.15549725733365
101,0.505,138.2251515950435
102,0.51,333.27802940007945
103,0.515,103.3971157401701
104,0.52,244.62288580426923
105,0.525,71.98915263546333
106,0.53,491.9427633122214
107,0.535,68.44267484742664
108,0.54,224.75104490408316
109,0.545,80.59924287553565
110,0.55,332.19578647235863
111,0.555,71.96691889294968
112,0.56,994.853889943074
113,0.5650000000000001,124.00745055139994
114,0.5700000000000001,498.07671297945615
115,0.5750000000000001,118.48316384180791
116,0.58,498.4318478906714
117,0.585,111.0897340820002
118,0.59,499.67881820347867
119,0.595,134.64428108246926
120,0.6,249.83940910173934
121,0.605,333.3574948338897
122,0.61,166.60591857000992
123,0.615,287.51741157115435
124,0.62,124.91598415582095
125,0.625,333.27802940007945
126,0.63,141.50345804797408
127,0.635,250.00321869225726
128,0.64,142.82857726622626
129,0.645,322.06895492590036
130,0.65,125.00160934612863
131,0.655,296.0406549971767
132,0.66,199.9858866161255
133,0.665,124.92714600583786
134,0.67,312.5412816691505
135,0.675,124.99788407092832
136,0.68,333.0927573062262
137,0.685,142.62944196959907
138,0.6900000000000001,333.2515493405371
139,0.6950000000000001,124.99415901776135
140,0.7000000000000001,333.013418023025
141,0.705,309.4970484061393
142,0.71,124.95692069355896
143,0.715,324.0846855200124
144,0.72,142.80426270811344
145,0.725,333.03986025091314
146,0.73,142.37284453496267
147,0.735,250.00321869225726
148,0.74,166.62577467026856
149,0.745,186.68731917924066
150,0.75,199.96681764004768
151,0.755,142.77995642701526
152,0.76,226.63338196358134
153,0.765,125.00160934612863
154,0.77,431.8682042833608
155,0.775,105.67393111788567
156,0.78,1000.7883560009544
157,0.785,142.82857726622626
158,0.79,249.88406315162348
159,0.795,304.8186046511628
160,0.8,142.77995642701526
161,0.805,128.9761377613776
162,0.81,196.601856191994
163,0.8150000000000001,122.47573439233778
164,0.8200000000000001,402.6402995104157
165,0.8250000000000001,142.80912495743956
166,0.8300000000000001,333.41049284578696
167,0.835,122.37210795040117
168,0.84,333.4369981715558
169,0.845,142.82371369223958
170,0.85,328.01313834363026
171,0.855,250.00321869225726
172,0.86,142.7994007898679
173,0.865,307.25250897370154
174,0.87,124.96436658324396
175,0.875,333.06630667831337
176,0.88,155.16643853353557
177,0.885,199.97635167350052
178,0.89,199.9001048517777
179,0.895,141.81923922231616
180,0.9,249.9138413871179
181,0.905,119.21055025011368
182,0.91,500.0362422508345
183,0.915,111.09267646669315
184,0.92,460.9125274725275
185,0.925,124.96808986085868
186,0.93,333.56958803881025
187,0.935,140.28241747215625
188,0.9400000000000001,333.1721344030503
189,0.9450000000000001,124.24254272934625
190,0.9500000000000001,198.46238289012965
191,0.9550000000000001,124.97553708173177
192,0.96,333.2515493405371
193,0.965,124.95692069355896
194,0.97,1001.5052531041069
195,0.975,109.58624653811987
196,0.98,203.77515425351018
197,0.985,125.01651266766021
198,0.99,414.82583325091485
199,0.995,124.92714600583786
200,1.0,499.67881820347867
201,1.0050000000000001,109.13572023313905
202,1.01,500.0362422508345
203,1.0150000000000001,142.23283258164062
204,1.02,249.88406315162348
205,1.025,141.6372539087563
206,1.03,333.38399173356646
207,1.035,136.47557999544463
208,1.04,200.07174203396298
209,1.045,121.71868017063757
210,1.05,499.4408192426768
211,1.055,124.99415901776135
212,1.06,412.41927236971486
213,1.065,121.086174543145
214,1.07,498.9061496372071
215,1.075,124.19104018002547
216,1.08,493.7960913586061
217,1.085,111.06325963193433
218,1.09,999.1195807527394
219,1.095,111.0897340820002
220,1.1,999.5958055290753
221,1.105,142.7848170212766
222,1.11,333.27802940007945
223,1.115,125.01278650412804
224,1.12,499.4408192426768
225,1.125,142.85776566757494
226,1.1300000000000001,333.0927573062262
227,1.135,124.986709577448
228,1.1400000000000001,489.70274372446
229,1.145,98.95026894404077
230,1.1500000000000001,234.1616793211255
231,1.155,124.99415901776135
232,1.16,406.14931732352085
233,1.165,121.97708369685337
234,1.17,500.0362422508345
235,1.175,124.9792610250298
236,1.18,486.6346443903005
237,1.185,105.74053345434378
238,1.19,998.8816384853536
239,1.195,137.75302154492906
240,1.2,331.1205494592248
241,1.205,123.8719432959244
242,1.21,957.1665905979005
243,1.215,139.56357102452336
244,1.22,323.60959802484376
245,1.225,101.18704011965936
246,1.23,258.11101538461537
247,1.235,111.09856170370567
248,1.24,854.5851670741646
249,1.245,124.95319808144905
250,1.25,499.67881820347867
251,1.2550000000000001,117.65228611500702
252,1.26,435.72657386245584
253,1.2650000000000001,140.64934106837464
254,1.27,333.2250734885199
255,1.2750000000000001,123.41269934678985
256,1.28,329.2232339089482
257,1.285,154.7028622012393
