sample_number,time_approx,sampling_rate_hz
0,0.0,248.96444470825665
1,0.005,99.98817583675026
2,0.01,222.60396985458019
3,0.015,118.19269028094796
4,0.02,478.0923287358942
5,0.025,139.23925239849947
6,0.03,331.4083438685209
7,0.035,89.72924867362656
8,0.04,331.67040961568875
9,0.045,119.52308218397356
10,0.05,443.3256526794208
11,0.055,124.986709577448
12,0.06,328.52698362967027
13,0.065,117.92021142005679
14,0.07,330.182161694088
15,0.075,325.7711844660194
16,0.08,140.56920705141096
17,0.085,240.59565192451097
18,0.09,162.70866630460083
19,0.095,240.16857535501603
20,0.1,150.1397479954181
21,0.105,329.9483952171177
22,0.11,164.28922835879357
23,0.115,222.92341217114006
24,0.12,196.94341926092878
25,0.125,159.95362672565022
26,0.13,301.29329789526616
27,0.135,246.13015668094596
28,0.14,163.5333749220212
29,0.145,226.81721825654338
30,0.15,150.51690231823727
31,0.155,31.57957189215236
32,0.16,165.16259106123252
33,0.165,246.49177244945932
34,0.17,158.16222331158792
35,0.17500000000000002,249.33444299132088
36,0.18,165.4949494949495
37,0.185,244.765639589169
38,0.19,140.8713642775576
39,0.195,331.82784810126583
40,0.2,161.74864062319233
41,0.20500000000000002,244.26672878690815
42,0.21,163.06924303098634
43,0.215,246.33253068655665
44,0.22,139.5960860014644
45,0.225,331.0160208349775
46,0.23,141.68988581852577
47,0.23500000000000001,331.72287250869977
48,0.24,156.4863634667761
49,0.245,248.4630057461051
50,0.25,155.00014781966001
51,0.255,248.87580846140153
52,0.26,196.96191594270957
53,0.265,121.13513357400723
54,0.27,225.6336543116897
55,0.275,142.83344117146262
56,0.28,249.973419154896
57,0.28500000000000003,249.94362672069602
58,0.29,163.38685676444237
59,0.295,249.92873316648792
60,0.3,142.87236434240555
61,0.305,249.89895138226882
62,0.31,142.85290010558222
63,0.315,249.89895138226882
64,0.32,199.96681764004768
65,0.325,120.39451174005396
66,0.33,239.72930955647004
67,0.335,124.94947569113441
68,0.34,500.15549725733365
69,0.34500000000000003,120.8036866359447
70,0.35000000000000003,331.6966389877422
71,0.355,139.39659011598923
72,0.36,332.380061811554
73,0.365,247.1162434454722
74,0.37,166.1636954282545
75,0.375,248.84627706911897
76,0.38,140.59747921694824
77,0.385,248.99400415553578
78,0.39,164.01298244241974
